record_index	shape_value	delta_value	shape	shape_2bit_bytes	phrase_plain
6367	9381520	1680	[4 3 6 2 3 2 2]	overflow_word_gt4	pants plus silhouette noir talla tena 9ud
6368	9381522	2	[4 3 6 2 3 2 2 2]	overflow_word_gt4	colgate pasta dentifrica ma7 8hite one tubo viml
6369	9381586	64	[4 3 6 2 3 3 2 2]	overflow_word_gt4	colgate pasta dentifrica ma7 8hite optic tubo viml
6370	9381589	3	[4 3 6 2 3 3 2 5]	overflow_word_gt4	colgate pasta dentifrica ma7 8hite extra care sensitive
6371	9382049	460	[4 3 6 2 4 2 4 1]	overflow_word_gt4	maletin paleta loncheada sin gluten sin lactosa r
6372	9382160	111	[4 3 6 2 4 4 2]	overflow_word_gt4	cerveza damm malqerida roja fresca botella dc
6373	9382610	450	[4 3 6 2 5 3 2 2]	overflow_word_gt4	pants optima adsorption m3 carrefour bab3 t6 rk
6374	9384704	2094	[4 3 6 3 1 4]	overflow_word_gt4	colageno acido hialuronico sanon ne capsula
6375	9384960	256	[4 3 6 3 2]	overflow_word_gt4	chicle sabor hierbabuena orbit neud
6376	9384960	0	[4 3 6 3 2]	overflow_word_gt4	galbani qeso mo6zarella bolsa acg
6377	9384960	0	[4 3 6 3 2]	overflow_word_gt4	panuelos crema hidratante fo73 gud
6378	9385600	640	[4 3 6 3 3 2]	overflow_word_gt4	chicle sabor hierbabuena 8hite orbit cud
6379	9386226	626	[4 3 6 3 4 3 6 2]	overflow_word_gt4	colgate pasta dentifrica fluor calcio maxima proteccion tubo
6380	9386272	46	[4 3 6 3 4 4 4]	overflow_word_gt4	champu solido delicatesse avena garnier cabello delicado
6381	9386594	322	[4 3 6 3 5 1 4 2]	overflow_word_gt4	chicle sabor hierbabuena sense trident 3 paqetes ug
6382	9388032	1438	[4 3 6 4]	overflow_word_gt4	caramelo menta minigrageas smint
6383	9388032	0	[4 3 6 4]	overflow_word_gt4	manteca cerdo montpalau cocinar
6384	9389056	1024	[4 3 6 4 2]	overflow_word_gt4	tulipan negro desodorante stick viml
6385	9389056	0	[4 3 6 4 2]	overflow_word_gt4	barmon licor limoncello botella boc
6386	9389056	0	[4 3 6 4 2]	overflow_word_gt4	repavar crema regeneradora ferrer agml
6387	9389778	722	[4 3 6 4 3 3 2 2]	overflow_word_gt4	colgate pasta dentifrica triple accion fluor tubo viml
6388	9389907	129	[4 3 6 4 3 5 2 3]	overflow_word_gt4	contra anojo piezaentera calidad origen carrefour 6k apro7
6389	9390420	513	[4 3 6 4 4 5 2 4]	overflow_word_gt4	banador panal desechable huggies little swimmer t3 3kg8
6390	9390736	316	[4 3 6 4 5 2 2]	overflow_word_gt4	himalaya pasta dentifrica cuidado completo tubo viml
6391	9392128	1392	[4 3 6 5]	overflow_word_gt4	allioli sobre individuales hacendado
6392	9392912	784	[4 3 6 5 1 4 2]	overflow_word_gt4	chicle sabor hierbabuena trident 5 paqetes atg
6393	9393152	240	[4 3 6 5 2]	overflow_word_gt4	pechuga pollo campofrio finissima xig
6394	9393152	0	[4 3 6 5 2]	overflow_word_gt4	balsamo labial hidratante carrefour 1ud
6395	9393152	0	[4 3 6 5 2]	overflow_word_gt4	balsamo labial hidratante carrefour 2ud
6396	9393152	0	[4 3 6 5 2]	overflow_word_gt4	balsamo labial hidratante carrefour 1ud
6397	9393344	192	[4 3 6 5 2 3]	overflow_word_gt4	trasero pollo certificado carrefour zug apro7
6398	9393344	0	[4 3 6 5 2 3]	overflow_word_gt4	trasero pollo certificado carrefour zug apro7
6399	9393344	0	[4 3 6 5 2 3]	overflow_word_gt4	reqeson cabra tradicional cabrel7 xag apro7
6400	9393792	448	[4 3 6 5 3 2]	overflow_word_gt4	palomita sabor manteqilla carrefour kids ing
6401	9394176	384	[4 3 6 5 4]	overflow_word_gt4	fiambre magro sandwich hacendado loncha
6402	9394388	212	[4 3 6 5 4 3 2 4]	overflow_word_gt4	panceta curada deshuesada carrefour nuestra tierra sin gluten
6403	9394459	71	[4 3 6 5 4 4 3 3]	overflow_word_gt4	bombon helado mascarpone chocolate blanco arandano rojos nuii
6404	9394763	304	[4 3 6 5 5 1 1 3]	overflow_word_gt4	palomita sabor manteqilla microonda carrefour p 3 bolsa
6405	9394794	31	[4 3 6 5 5 1 5 2]	overflow_word_gt4	galleta danesa manteqilla chocolate jacobsen of denmark tug
6406	9395856	1062	[4 3 6 5 7 2 2]	overflow_word_gt4	colgate pasta dentifrica sensitive blanqeador tubo viml
6407	9398928	3072	[4 3 6 6 5 2 2]	overflow_word_gt4	signal pasta dentifrica proteccion anticaries tubo viml
6408	9399056	128	[4 3 6 6 5 4 2]	overflow_word_gt4	fluido facial hidratante matificante dermopure eucerin boml
6409	9403115	4059	[4 3 6 7 5 3 5 3]	overflow_word_gt4	fri66 ease mascarilla fortalecedora intensiva ceite aguacate tarro
6410	9404416	1301	[4 3 7]	overflow_word_gt4	cerveza pils krombacher
6411	9404416	0	[4 3 7]	overflow_word_gt4	apresto zelco instantaneo
6412	9404416	0	[4 3 7]	overflow_word_gt4	cerveza trigo franziskane
6413	9410816	6400	[4 3 7 1 4 4]	overflow_word_gt4	prebase facial perfecciona el rostro deliplu
6414	9414272	3456	[4 3 7 2 3 2]	overflow_word_gt4	bolsita fruta manzanaplata hero bab3 acg
6415	9417728	3456	[4 3 7 3 2]	overflow_word_gt4	pascual leche semidesnatada envase 1l
6416	9417816	88	[4 3 7 3 2 1 3]	overflow_word_gt4	depend braga incontinenci talla sm p guds
6417	9417816	0	[4 3 7 3 2 1 3]	overflow_word_gt4	depend braga incontinenci talla sm p guds
6418	9418448	632	[4 3 7 3 3 3 2]	overflow_word_gt4	knorr crema vich3soisse puerro patata envase kml
6419	9418448	0	[4 3 7 3 3 3 2]	overflow_word_gt4	knorr crema vich3soisse puerro patata envase kml
6420	9418896	448	[4 3 7 3 4 2 2]	overflow_word_gt4	fri66 ease acondicionador rizos definido tubo 6ml
6421	9419034	138	[4 3 7 3 4 4 3 2]	overflow_word_gt4	pantene prov acondicionador repara protege cabello danado bote
6422	9420800	1766	[4 3 7 4]	overflow_word_gt4	capsula huesos articulaciones deliplu
6423	9421824	1024	[4 3 7 4 2]	overflow_word_gt4	surtido setas deshidratada bandeja ng
6424	9421824	0	[4 3 7 4 2]	overflow_word_gt4	surtido setas deshidratada bandeja ng
6425	9422848	1024	[4 3 7 4 4]	overflow_word_gt4	toallita auto bronceadoras deliplu monodosi
6426	9422976	128	[4 3 7 4 4 2]	overflow_word_gt4	balsamo labial ultrahidrata berr3 carme7 2g
6427	9424082	1106	[4 3 7 4 6 3 2 2]	overflow_word_gt4	isostar bebida refrescante sport aromatizada limon lata yag
6428	9424896	814	[4 3 7 5]	overflow_word_gt4	pimiento tiras condimentado hacendado
6429	9425920	1024	[4 3 7 5 2]	overflow_word_gt4	mascara facial revitalizante sesderma 1ud
6430	9426215	295	[4 3 7 5 2 4 4 7]	overflow_word_gt4	sarten asador antiadherente aluminio san ignacio earth 2872875
6431	9426560	345	[4 3 7 5 3 2]	overflow_word_gt4	vaselina neutra hidrantente carrefour soft acg
6432	9427072	512	[4 3 7 5 4 2]	overflow_word_gt4	platano rodaja deshidratado carrefour tarrina ajg
6433	9427072	0	[4 3 7 5 4 2]	overflow_word_gt4	arandano rojos deshidratado carrefour tarrina xag
6434	9430306	3234	[4 3 7 6 2 4 4 2]	overflow_word_gt4	powerade bebida refrescante aromatizada ice storm botella boc
6435	9437184	6878	[4 4]	f0	cerveza reserva
6436	9437184	0	[4 4]	f0	manzana reineta
6437	9437184	0	[4 4]	f0	mionetto blanco
6438	9437184	0	[4 4]	f0	cerveza amstel
6439	9437184	0	[4 4]	f0	boqeron limpio
6440	9437184	0	[4 4]	f0	seagram ginebra
6441	9437184	0	[4 4]	f0	cerveza reserva
6442	9437184	0	[4 4]	f0	galleta roedores
6443	9437184	0	[4 4]	f0	espinaca 3barra
6444	9437184	0	[4 4]	f0	empanada verdura
6445	9437184	0	[4 4]	f0	cerveza heineken
6446	9437184	0	[4 4]	f0	nectar generoso
6447	9469952	32768	[4 4 1]	f0	cerveza tostada ax
6448	9476224	6272	[4 4 1 1 4 2]	f0d0	amstel cerveza p 6 botella dc
6449	9476962	738	[4 4 1 1 5 5 4 2]	overflow_word_gt4	caravan colonia no f seductora amaderada spra3 acml
6450	9479440	2478	[4 4 1 2 2 4 2]	f174	giraldo bacalao al pil pil bandeja lig
6451	9479680	240	[4 4 1 2 3]	f180	manzana reineta ud wag apro7
6452	9479952	272	[4 4 1 2 3 4 2]	f1b4	lenteja riojana n sal grasa litoral ixg
6453	9482842	2890	[4 4 1 3 1 1 3 2]	f209	cerveza amstel ac malta p j latas vc
6454	9482842	0	[4 4 1 3 1 1 3 2]	f209	cerveza amstel ac malta p j latas vc
6455	9482842	0	[4 4 1 3 1 1 3 2]	f209	cerveza amstel ac malta p k latas vc
6456	9482842	0	[4 4 1 3 1 1 3 2]	f209	cerveza amstel ac malta p j latas vc
6457	9482842	0	[4 4 1 3 1 1 3 2]	f209	cerveza amstel ac malta p k latas vc
6458	9483776	934	[4 4 1 3 3]	f280	caramelo surtido 5 sabore dolis
6459	9484508	732	[4 4 1 3 4 3 3 4]	f2eb	ampolla rescate 1 minuto cabello tenido danado pantene
6460	9487488	2980	[4 4 1 4 2 2]	f350	nestle papilla 8 cereales caja zeg
6461	9488000	512	[4 4 1 4 3 2]	f390	panuelos faciales ac natural renova roud
6462	9488720	720	[4 4 1 4 4 5 2]	overflow_word_gt4	infusion curcuma te matcha bolsita horniman eud
6463	9502720	14000	[4 4 2]	f4	calabaza cortada kg
6464	9502720	0	[4 4 2]	f4	surtido estepena pg
6465	9502720	0	[4 4 2]	f4	calabaza cortada kg
6466	9502720	0	[4 4 2]	f4	pimiento picante xag
6467	9502720	0	[4 4 2]	f4	esponja calzado yak
6468	9502720	0	[4 4 2]	f4	ginebra 7pres vec
6469	9502720	0	[4 4 2]	f4	empanada espinaca kg
6470	9502720	0	[4 4 2]	f4	freson tarrina kg
6471	9502720	0	[4 4 2]	f4	empanada rellena atud
6472	9502720	0	[4 4 2]	f4	finger cocinera gag
6473	9502720	0	[4 4 2]	f4	vermut campari 1l
6474	9502720	0	[4 4 2]	f4	ginebra gordon 1l
6475	9502720	0	[4 4 2]	f4	sprite botella 2l
6476	9502720	0	[4 4 2]	f4	ginebra bomba3 1l
6477	9502720	0	[4 4 2]	f4	vaselina senti2 eg
6478	9502720	0	[4 4 2]	f4	limpia insecto kml
6479	9502720	0	[4 4 2]	f4	empanada espinaca kg
6480	9508352	5632	[4 4 2 1 3]	f480	stick tortuga dr wu tetra
6481	9509008	656	[4 4 2 1 4 2 2]	f4d4	cerveza amstel oro 1 tostada lata vc
6482	9510912	1904	[4 4 2 2]	f5	galleta saltin noel mig
6483	9510912	0	[4 4 2 2]	f5	sardina picante cuca ogg
6484	9510912	0	[4 4 2 2]	f5	vermut forteni rojo 1l
6485	9510912	0	[4 4 2 2]	f5	vermut cinzano rojo 1l
6486	9510912	0	[4 4 2 2]	f5	colacao original bote jg
6487	9511936	1024	[4 4 2 2 2]	f540	nectar guayaba goya lata coc
6488	9512080	144	[4 4 2 2 2 2 2]	f554	cerveza foudder all da3 tipo ipa suc
6489	9512128	48	[4 4 2 2 2 3]	f560	platano canarias cat 1a 1k apro7
6490	9512576	448	[4 4 2 2 3 2]	f590	serrano fiambre lomo pavo sobre lg
6491	9513680	1104	[4 4 2 2 5 3 2]	overflow_word_gt4	suprema salmon sin piel congelado findu xag
6492	9515008	1328	[4 4 2 3]	f6	cerveza especial san miguel
6493	9515520	512	[4 4 2 3 1]	f600	glimp exfopro pure snatu ju
6494	9515594	74	[4 4 2 3 1 1 1 2]	f601	pastel pantera rosa bimbo p 3 ud esg
6495	9515731	137	[4 4 2 3 1 3 2 3]	f626	tarrito verdura pavo desde 6 meses hero bab3
6496	9515746	15	[4 4 2 3 1 3 4 2]	f62d	william expert gel ducha 3 1ice fresh bote
6497	9516032	286	[4 4 2 3 2]	f640	limpia maqinas duo somat 3ud
6498	9516032	0	[4 4 2 3 2]	f640	arreglo puchero peso apro7 kk
6499	9516032	0	[4 4 2 3 2]	f640	hoguera cabecero lomo pieza yag
6500	9516032	0	[4 4 2 3 2]	f640	vitamina capsula vive plus boud
6501	9516617	585	[4 4 2 3 3 1 1 1]	f680	natilla vainilla nata danone danet p 4 ud
6502	9516617	0	[4 4 2 3 3 1 1 1]	f680	natilla vainilla nata danone danet p 4 ud
6503	9516752	135	[4 4 2 3 3 3 2]	f6a4	gallina blanca sopa cocido fideos sobre eng
6504	9516754	2	[4 4 2 3 3 3 2 2]	f6a5	gallina blanca sopa pollo fideos finos bajo sal
6505	9517056	302	[4 4 2 3 4]	f6c0	bocadito gelatina gato adulto delikuit
6506	9517184	128	[4 4 2 3 4 2]	f6d0	grand astoria cava brut botella vic
6507	9517184	0	[4 4 2 3 4 2]	f6d0	nectar naranja don simon botella ll
6508	9517184	0	[4 4 2 3 4 2]	f6d0	grand astoria cava brut botella vic
6509	9517211	27	[4 4 2 3 4 2 3 3]	f6da	estuche giovanna ru3 inlove colonia acml bod3 lotion
6510	9517328	117	[4 4 2 3 4 4 2]	f6f4	cerveza tostada san miguel selecta botella vc
6511	9517392	64	[4 4 2 3 4 5 2]	overflow_word_gt4	cepillo dental duro cerda cruzada carrefour 2ud
6512	9517392	0	[4 4 2 3 4 5 2]	overflow_word_gt4	cepillo dental duro cerda cruzada carrefour 2ud
6513	9517776	384	[4 4 2 3 5 3 2]	overflow_word_gt4	gallina blanca sopa pollo maravilla sobre sog
6514	9518080	304	[4 4 2 3 6]	overflow_word_gt4	brocha afeitar pelo tejon wilkinson
6515	9518080	0	[4 4 2 3 6]	overflow_word_gt4	brocha afeitar pelo tejon wilkinson
6516	9518365	285	[4 4 2 3 6 4 3 5]	overflow_word_gt4	herbal essence bio rene8 mascarilla aceite argan marruecos
6517	9519104	739	[4 4 2 4]	f7	fiambre pechuga pavo adobada
6518	9519104	0	[4 4 2 4]	f7	capsula cabello udas deliplu
6519	9520128	1024	[4 4 2 4 2]	f740	galleta schar sin gluten ogg
6520	9520128	0	[4 4 2 4 2]	f740	galleta schar sin gluten jug
6521	9520128	0	[4 4 2 4 2]	f740	alubias litoral sin gluten ipg
6522	9520256	128	[4 4 2 4 2 2]	f750	cerveza amstel oro tostada lata vc
6523	9520272	16	[4 4 2 4 2 2 2]	f754	pants pullup nina huggies t5 osk laud
6524	9520272	0	[4 4 2 4 2 2 2]	f754	cerveza arriaca tipo session ipa lata vc
6525	9520282	10	[4 4 2 4 2 2 3 2]	f759	estuche poseidon man colonia juml gel ducha juml
6526	9520410	128	[4 4 2 4 2 4 3 2]	f779	mayonesa 3barra sin gluten sin lactosa envase yaml
6527	9520410	0	[4 4 2 4 2 4 3 2]	f779	mayonesa 3barra sin gluten sin lactosa tarro ifml
6528	9520640	230	[4 4 2 4 3]	f780	ensalada me6cla duo canonigo rucula
6529	9520640	0	[4 4 2 4 3]	f780	ensalada me6cla duo canonigo rucula
6530	9520768	128	[4 4 2 4 3 2]	f790	gallina blanca sopa verdura sobre dag
6531	9520768	0	[4 4 2 4 3 2]	f790	trolli golosina mini burger bolsa bog
6532	9520826	58	[4 4 2 4 3 2 7 2]	overflow_word_gt4	fructi champu pure fresh agua coco fortificante bote
6533	9520994	168	[4 4 2 4 3 5 4 2]	overflow_word_gt4	bolsita platano pera naranja avena ecologica organi7 acg
6534	9521024	30	[4 4 2 4 3 6]	overflow_word_gt4	cerveza radler zumo natural limon steinburg
6535	9521024	0	[4 4 2 4 3 6]	overflow_word_gt4	cerveza radler zumo natural limon steinburg
6536	9521280	256	[4 4 2 4 4 2]	f7d0	gaseosa schus sin calorias botella 1l
6537	9521314	34	[4 4 2 4 4 2 4 2]	f7dd	nestle naturne pure manzana platano bio tarrito wag
6538	9521378	64	[4 4 2 4 4 3 4 2]	f7ed	champu fresco puro cabello normal graso timotei yaml
6539	9521408	30	[4 4 2 4 4 4]	f7f0	mascara pestana maxi volumen deliplu marron
6540	9521408	0	[4 4 2 4 4 4]	f7f0	mascara pestana maxi volumen deliplu marron
6541	9521664	256	[4 4 2 4 5]	overflow_word_gt4	chuleta cordero palo rinonada congelada
6542	9523200	1536	[4 4 2 5]	overflow_word_gt4	golosina botella cola hacendado
6543	9523200	0	[4 4 2 5]	overflow_word_gt4	galleta rellena coco hacendado
6544	9524928	1728	[4 4 2 5 3 3]	overflow_word_gt4	pritt stick rig promocion micro rolli
6545	9524928	0	[4 4 2 5 3 3]	overflow_word_gt4	kandoo toallita 8c sensitive envase acuds
6546	9525912	984	[4 4 2 5 5 2 3]	overflow_word_gt4	magret fresco pato carrefour seleccion fag apro7
6547	9526672	760	[4 4 2 5 6 6 2]	overflow_word_gt4	mascara pestana the colossal waterproof ma3belline 1ud
6548	9529984	3312	[4 4 2 6 5 2]	overflow_word_gt4	toallita higiene caso hemorroides hemofarm neud
6549	9535488	5504	[4 4 3]	f8	postre manzana jamar
6550	9535488	0	[4 4 3]	f8	cerveza especial mahou
6551	9535488	0	[4 4 3]	f8	cerveza tostada turia
6552	9535488	0	[4 4 3]	f8	cogollo bandeja 3uds
6553	9535488	0	[4 4 3]	f8	cerveza tostada turia
6554	9535488	0	[4 4 3]	f8	cerveza clasica mahou
6555	9535488	0	[4 4 3]	f8	carcasa espinazo pollo
6556	9539584	4096	[4 4 3 1]	f8	marqes riscal rosado me
6557	9539584	0	[4 4 3 1]	f8	marqes riscal rosado me
6558	9540304	720	[4 4 3 1 1 3 2]	f824	cerveza heineken lager p p latas vc
6559	9540304	0	[4 4 3 1 1 3 2]	f824	cerveza heineken lager p k latas vc
6560	9540368	64	[4 4 3 1 1 4 2]	f834	cerveza heineken lager p 6 botella dc
6561	9541291	923	[4 4 3 1 3 2 5 3]	overflow_word_gt4	chupete silicona desde k meses rosa phisyio soft
6562	9541291	0	[4 4 3 1 3 2 5 3]	overflow_word_gt4	chupete silicona desde k meses rosa phisyio soft
6563	9541291	0	[4 4 3 1 3 2 5 3]	overflow_word_gt4	chupete silicona desde k meses azul phisyio soft
6564	9543680	2389	[4 4 3 2]	f9	ginebra seagram extra vec
6565	9543680	0	[4 4 3 2]	f9	vermut martini fiero vic
6566	9543680	0	[4 4 3 2]	f9	chorizo gallego malla kg
6567	9543680	0	[4 4 3 2]	f9	galleta tostada tosta rica
6568	9543680	0	[4 4 3 2]	f9	galleta qelitas qel3 xag
6569	9543680	0	[4 4 3 2]	f9	castana almibar cuevas lg
6570	9543680	0	[4 4 3 2]	f9	capsula regali6 haribo ing
6571	9543680	0	[4 4 3 2]	f9	ginebra seagram extra vec
6572	9543680	0	[4 4 3 2]	f9	fileton bacalao salado udk
6573	9543680	0	[4 4 3 2]	f9	salmon ahumado royal acg
6574	9543680	0	[4 4 3 2]	f9	safrina azafran hebra avg
6575	9543680	0	[4 4 3 2]	f9	vermut martini fiero vic
6576	9543680	0	[4 4 3 2]	f9	galleta tostada tosta rica
6577	9543680	0	[4 4 3 2]	f9	palomita caramelo popita agg
6578	9544266	586	[4 4 3 2 1 1 1 2]	f901	salmon ahumado royal duo p 2 ud pog
6579	9544320	54	[4 4 3 2 1 2]	f910	cuetara galleta maria oro p cig
6580	9544320	0	[4 4 3 2 1 2]	f910	cuetara galleta maria oro p cig
6581	9544346	26	[4 4 3 2 1 2 3 2]	f919	cepillo dental ninos 2a 6 anos phb 1ud
6582	9544704	358	[4 4 3 2 2]	f940	sardina aceite oliva albo ogg
6583	9544704	0	[4 4 3 2 2]	f940	cocinera finger pollo caja gag
6584	9545216	512	[4 4 3 2 3]	f980	ginebra london dr3 gin larios
6585	9545216	0	[4 4 3 2 3]	f980	barrita canarios fruta miel natura
6586	9545368	152	[4 4 3 2 3 2 3]	f998	trucha abierta libro sin cabeza sin espina
6587	9545442	74	[4 4 3 2 3 3 4 2]	f9ad	nestle extreme helado cono sabor doble vainilla veg
6588	9545450	8	[4 4 3 2 3 3 5 2]	overflow_word_gt4	snack dental perro mini total dent brekkies dug
6589	9545553	103	[4 4 3 2 3 5 2 1]	overflow_word_gt4	snack dental perro mini purina dentalife xeg i
6590	9545856	303	[4 4 3 2 4 2]	f9d0	cerveza artesana sagra ipa botella vc
6591	9545856	0	[4 4 3 2 4 2]	f9d0	cerveza artesana sagra roja botella vc
6592	9545872	16	[4 4 3 2 4 2 2]	f9d4	gullon galleta avena bio organic caja 6g
6593	9546082	210	[4 4 3 2 4 5 4 2]	overflow_word_gt4	panuelos balsam aloe vera vitamina calendula kleenex inud
6594	9546240	158	[4 4 3 2 5]	overflow_word_gt4	ginebra london dr3 gin tanqeray
6595	9546240	0	[4 4 3 2 5]	overflow_word_gt4	ginebra london dr3 gin gliver3
6596	9546752	512	[4 4 3 2 6]	overflow_word_gt4	cerveza pilsen sabor sur steinburg
6597	9546923	171	[4 4 3 2 6 2 5 3]	overflow_word_gt4	neceser higiene intima copa menstrual vaso limpieza tamano
6598	9547776	853	[4 4 3 3]	fa	delicias fiambre pollo qeso
6599	9548525	749	[4 4 3 3 1 3 5 5]	overflow_word_gt4	tarrito guisante jamon desde 6 meses ecologico carrefour
6600	9548570	45	[4 4 3 3 1 4 3 2]	fa39	gallina blanca caldo cocido ac natural envase 1l
6601	9548570	0	[4 4 3 3 1 4 3 2]	fa39	garcia baqero qeso tierno ya cortado envase 6g
6602	9548800	230	[4 4 3 3 2]	fa40	mayonesa ajonesa chovi envase yaml
6603	9548800	0	[4 4 3 3 2]	fa40	nestle yogolino fresa pouch pog
6604	9548800	0	[4 4 3 3 2]	fa40	cepillo dental medio vitis 1ud
6605	9548800	0	[4 4 3 3 2]	fa40	cepillo dental medio vitis 2ud
6606	9548800	0	[4 4 3 3 2]	fa40	nestle yogolino fresa pouch pog
6607	9548800	0	[4 4 3 3 2]	fa40	cepillo dental suave vitis 2ud
6608	9548800	0	[4 4 3 3 2]	fa40	palacios chorizo sarta pieza 6g
6609	9548800	0	[4 4 3 3 2]	fa40	rollito vegetale jamon ta3na 6ud
6610	9548944	144	[4 4 3 3 2 2 2]	fa54	cerveza greene king abbot ale lata boc
6611	9549091	147	[4 4 3 3 2 4 4 3]	fa7e	mascara pestana miss manga mega volumen black loreal
6612	9549312	221	[4 4 3 3 3]	fa80	cerveza maestra mahou doble lupulo
6613	9549312	0	[4 4 3 3 3]	fa80	cerveza maestra mahou doble lupulo
6614	9549402	90	[4 4 3 3 3 1 3 2]	fa89	snack platano sabor chile limon el dorado acg
6615	9549402	0	[4 4 3 3 3 1 3 2]	fa89	tarrito guisante jamon cocido desde 6 meses hero
6616	9549440	38	[4 4 3 3 3 2]	fa90	nocilla original crema cacao tarro nug
6617	9549520	80	[4 4 3 3 3 3 2]	faa4	8hiska snack gatos sabor pollo bolsa pg
6618	9549532	12	[4 4 3 3 3 3 3 4]	faab	william expert locion after shave aqua velva frasco
6619	9549594	62	[4 4 3 3 3 4 3 2]	fab9	gallina blanca crema casera pollo verdura envase kml
6620	9549674	80	[4 4 3 3 3 5 5 2]	overflow_word_gt4	pants perdida orina talla plus ausonia discreet 8ud
6621	9549952	278	[4 4 3 3 4 2]	fad0	corazon escarola rizada huerta peralta 1ud
6622	9549952	0	[4 4 3 3 4 2]	fad0	chorizo picante extra sarta palacios 6g
6623	9549952	0	[4 4 3 3 4 2]	fad0	tampone compak pearl super tampa7 teud
6624	9549976	24	[4 4 3 3 4 2 3]	fad8	tampa7 compak pearl super tampon caja puds
6625	9549976	0	[4 4 3 3 4 2 3]	fad8	tampa7 compak pearl super tampon caja puds
6626	9549986	10	[4 4 3 3 4 2 4 2]	fadd	fructi champu hidra rizos cabello rizo ondulado bote
6627	9549986	0	[4 4 3 3 4 2 4 2]	fadd	galleta rellena crema cacao schar sin gluten 6g
6628	9550032	46	[4 4 3 3 4 3 2]	fae4	gallina blanca crema casera calabaza envase kml
6629	9550032	0	[4 4 3 3 4 3 2]	fae4	garcia baqero qeso cabra loncha envase agg
6630	9550032	0	[4 4 3 3 4 3 2]	fae4	tronco bretan jamon gran reserva sobre acg
6631	9550100	68	[4 4 3 3 4 4 2 4]	faf7	mascara pestana false lash effect black ma7 factor
6632	9550163	63	[4 4 3 3 4 5 2 3]	overflow_word_gt4	8hiska alimento gatos junior gelatina casserole aves bolsa
6633	9550186	23	[4 4 3 3 4 5 5 2]	overflow_word_gt4	nestle extreme gold helado bombon fondant bro8nie nata
6634	9550336	150	[4 4 3 3 5]	overflow_word_gt4	surtido caramelo diver xuxes hacendado
6635	9550464	128	[4 4 3 3 5 2]	overflow_word_gt4	galleta rellena crema limon festival umg
6636	9550464	0	[4 4 3 3 5 2]	overflow_word_gt4	galleta rellena crema limon festival umg
6637	9550464	0	[4 4 3 3 5 2]	overflow_word_gt4	guisante cocinado extra finos bonduelle yig
6638	9550464	0	[4 4 3 3 5 2]	overflow_word_gt4	guisante cocinado extra finos bonduelle yig
6639	9550490	26	[4 4 3 3 5 2 3 2]	overflow_word_gt4	galleta qinoa canela limon ecologicas bio darma sin
6640	9550528	38	[4 4 3 3 5 3]	overflow_word_gt4	cafetera krups genios plus kp348 negro
6641	9550544	16	[4 4 3 3 5 3 2]	overflow_word_gt4	bifruta pascual bebida leche tropical envase 1l
6642	9550544	0	[4 4 3 3 5 3 2]	overflow_word_gt4	garcia baqero medio qeso semicurado pieza yig
6643	9551872	1328	[4 4 3 4]	fb	pincel sombra pon3 deliplu
6644	9551872	0	[4 4 3 4]	fb	coletero recogido negro deliplu
6645	9551872	0	[4 4 3 4]	fb	neceser micke3 orejas peqeno
6646	9552896	1024	[4 4 3 4 2]	fb40	diranzo alcohol qemar botella 1l
6647	9552896	0	[4 4 3 4 2]	fb40	diranzo alcohol qemar botella 1l
6648	9552896	0	[4 4 3 4 2]	fb40	aceite semilla masia garrafa 5l
6649	9552896	0	[4 4 3 4 2]	fb40	galleta cereales leche belvita leg
6650	9552896	0	[4 4 3 4 2]	fb40	neceser micke3 skate grande asas
6651	9552896	0	[4 4 3 4 2]	fb40	neceser micke3 skate grande asas
6652	9552969	73	[4 4 3 4 2 1 1 1]	fb40	nestle naturne yogur natural bio p 4 ud
6653	9552969	0	[4 4 3 4 2 1 1 1]	fb40	nestle naturne yogur natural bio p 4 ud
6654	9553088	119	[4 4 3 4 2 3]	fb60	naranja calidad origen granel 1k apro7
6655	9553104	16	[4 4 3 4 2 3 2]	fb64	bo7b3 snack perro calcium bone bolsa acg
6656	9553106	2	[4 4 3 4 2 3 2 2]	fb65	cerveza amstel 1sin alcohol pura malta lata vc
6657	9553114	8	[4 4 3 4 2 3 3 2]	fb69	estuche poseidon gold colonia juml after shave boml
6658	9553114	0	[4 4 3 4 2 3 3 2]	fb69	estuche poseidon gold colonia juml after shave boml
6659	9553121	7	[4 4 3 4 2 3 4 1]	fb6c	gelatina light sabor naranja sin azucar anadido 1
6660	9553168	47	[4 4 3 4 2 4 2]	fb74	vich3 catalan agua mineral gas botella 1l
6661	9553168	0	[4 4 3 4 2 4 2]	fb74	vich3 catalan agua mineral gas botella 1l
6662	9553170	2	[4 4 3 4 2 4 2 2]	fb75	pimiento piqillo extra artesano 1a natural vela 6g
6663	9553298	128	[4 4 3 4 2 6 2 2]	overflow_word_gt4	estuche barock roll colonia juml desodorante juml gel
6664	9553298	0	[4 4 3 4 2 6 2 2]	overflow_word_gt4	estuche barock roll colonia juml desodorante juml gel
6665	9553408	110	[4 4 3 4 3]	fb80	fiambre magreta cerdo adobada cocida
6666	9553498	90	[4 4 3 4 3 1 3 2]	fb89	tarrito verdura jamon ternera desde 6 meses hero
6667	9553498	0	[4 4 3 4 3 1 3 2]	fb89	postre lacteo fresa platano desde 6 meses sin
